HMTL_DATE,INDEX,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND
6/8/2017,COMPQ  NASDAQ Composite,COMPQ,6165.0,6335,6297,BULLISH
6/9/2017,COMPQ  NASDAQ Composite,COMPQ,6195.0,6353,6321,BULLISH
6/12/2017,COMPQ  NASDAQ Composite,COMPQ,6168.0,6351,6207,BULLISH
6/13/2017,COMPQ  NASDAQ Composite,COMPQ,6155.0,6356,6175,BULLISH
6/14/2017,COMPQ  NASDAQ Composite,COMPQ,6160.0,6356,6220,BULLISH
6/15/2017,COMPQ  NASDAQ Composite,COMPQ,6150.0,6357,6194,BULLISH
6/16/2017,COMPQ  NASDAQ Composite,COMPQ,6125.0,6350,6165,BULLISH
6/19/2017,COMPQ  NASDAQ Composite,COMPQ,6109.0,6339,6151,BULLISH
6/20/2017,COMPQ  NASDAQ Composite,COMPQ,6170.0,6329,6239,BULLISH
6/21/2017,COMPQ  NASDAQ Composite,COMPQ,6112.0,6321,6188,BULLISH
6/22/2017,COMPQ  NASDAQ Composite,COMPQ,6139.0,6274,6233,BULLISH
6/23/2017,COMPQ  NASDAQ Composite,COMPQ,6170.0,6282,6236,BULLISH
6/26/2017,COMPQ  NASDAQ Composite,COMPQ,6190.0,6284,6265,BULLISH
6/27/2017,COMPQ  NASDAQ Composite,COMPQ,6195.0,6290,6247,BULLISH
6/28/2017,COMPQ  NASDAQ Composite,COMPQ,6121.0,6294,6146,BULLISH
6/29/2017,COMPQ  NASDAQ Composite,COMPQ,6193.0,6297,6234,BULLISH
6/30/2017,COMPQ  NASDAQ Composite,COMPQ,6127.0,6299,6144,BULLISH
7/3/2017,COMPQ  NASDAQ Composite,COMPQ,6112.0,6298,6140,BULLISH
7/5/2017,COMPQ  NASDAQ Composite,COMPQ,6085.0,6300,6110,BULLISH
7/6/2017,COMPQ  NASDAQ Composite,COMPQ,6085.0,6300,6150,BULLISH
7/10/2017,COMPQ  NASDAQ Composite,COMPQ,6059.0,6256,6153,BULLISH
7/12/2017,COMPQ  NASDAQ Composite,COMPQ,6070.0,6255,6193,BULLISH
7/13/2017,COMPQ  NASDAQ Composite,COMPQ,6072.0,6265,6261,BULLISH
7/14/2017,COMPQ  NASDAQ Composite,COMPQ,6173.0,6291,6274,BULLISH
7/17/2017,COMPQ  NASDAQ Composite,COMPQ,6191.0,6336,6312,BULLISH
7/18/2017,COMPQ  NASDAQ Composite,COMPQ,6211.0,6365,6314,BULLISH
7/19/2017,COMPQ  NASDAQ Composite,COMPQ,6225.0,6399,6344,BULLISH
7/20/2017,COMPQ  NASDAQ Composite,COMPQ,6225.0,6420,6385,BULLISH
7/21/2017,COMPQ  NASDAQ Composite,COMPQ,6290.0,6438,6390,BULLISH
7/24/2017,COMPQ  NASDAQ Composite,COMPQ,6308.0,6445,6387,BULLISH
7/25/2017,COMPQ  NASDAQ Composite,COMPQ,6341.0,6445,6410,BULLISH
7/26/2017,COMPQ  NASDAQ Composite,COMPQ,6358.0,6453,6412,BULLISH
7/27/2017,COMPQ  NASDAQ Composite,COMPQ,6375.0,6456,6422,BULLISH
7/28/2017,COMPQ  NASDAQ Composite,COMPQ,6317.0,6447,6382,BULLISH
7/31/2017,COMPQ  NASDAQ Composite,COMPQ,6342.0,6435,6374,BULLISH
8/1/2017,COMPQ  NASDAQ Composite,COMPQ,6341.0,6433,6348,BULLISH
8/2/2017,COMPQ  NASDAQ Composite,COMPQ,6340.0,6434,6362,BULLISH
8/3/2017,COMPQ  NASDAQ Composite,COMPQ,6362.0,6435,6362,BULLISH
8/7/2017,COMPQ  NASDAQ Composite,COMPQ,6313.0,6427,6351,BULLISH
8/8/2017,COMPQ  NASDAQ Composite,COMPQ,6320.0,6422,6383,BULLISH
8/9/2017,COMPQ  NASDAQ Composite,COMPQ,6315.0,6422,6370,BULLISH
8/10/2017,COMPQ  NASDAQ Composite,COMPQ,6321.0,6389,6352,BULLISH
8/11/2017,COMPQ  NASDAQ Composite,COMPQ,6184.0,6430,6216,BULLISH
8/14/2017,COMPQ  NASDAQ Composite,COMPQ,6194.0,6425,6256,BULLISH
8/15/2017,COMPQ  NASDAQ Composite,COMPQ,6224.0,6436,6340,BULLISH
8/16/2017,COMPQ  NASDAQ Composite,COMPQ,6225.0,6425,6333,BULLISH
8/17/2017,COMPQ  NASDAQ Composite,COMPQ,6223.0,6432,6345,BULLISH
8/18/2017,COMPQ  NASDAQ Composite,COMPQ,6195.0,6430,6221,BULLISH
8/21/2017,COMPQ  NASDAQ Composite,COMPQ,6170.0,6422,6216,BULLISH
8/22/2017,COMPQ  NASDAQ Composite,COMPQ,6158.0,6422,6213,BULLISH
8/23/2017,COMPQ  NASDAQ Composite,COMPQ,6198.0,6381,6297,BULLISH
8/24/2017,COMPQ  NASDAQ Composite,COMPQ,6200.0,6380,6278,BULLISH
8/25/2017,COMPQ  NASDAQ Composite,COMPQ,6200.0,6381,6271,BULLISH
8/28/2017,COMPQ  NASDAQ Composite,COMPQ,6205.0,6364,6265,BULLISH
8/29/2017,COMPQ  NASDAQ Composite,COMPQ,6180.0,6346,6283,BULLISH
8/30/2017,COMPQ  NASDAQ Composite,COMPQ,6190.0,6326,6301,BULLISH
8/31/2017,COMPQ  NASDAQ Composite,COMPQ,6190.0,6388,6368,BULLISH
9/1/2017,COMPQ  NASDAQ Composite,COMPQ,6307.0,6449,6428,BULLISH
9/5/2017,COMPQ  NASDAQ Composite,COMPQ,6325.0,6453,6435,BULLISH
9/6/2017,COMPQ  NASDAQ Composite,COMPQ,6310.0,6463,6375,BULLISH
9/7/2017,COMPQ  NASDAQ Composite,COMPQ,6325.0,6475,6393,BULLISH
9/8/2017,COMPQ  NASDAQ Composite,COMPQ,6243.0,6479,6397,BULLISH
9/11/2017,COMPQ  NASDAQ Composite,COMPQ,6275.0,6470,6360,BULLISH
9/12/2017,COMPQ  NASDAQ Composite,COMPQ,6310.0,6470,6432,BULLISH
9/13/2017,COMPQ  NASDAQ Composite,COMPQ,6345.0,6469,6454,BULLISH
9/14/2017,COMPQ  NASDAQ Composite,COMPQ,6356.0,6482,6460,BULLISH
9/15/2017,COMPQ  NASDAQ Composite,COMPQ,6348.0,6482,6429,BULLISH
9/18/2017,COMPQ  NASDAQ Composite,COMPQ,6345.0,6490,6448,BULLISH
9/19/2017,COMPQ  NASDAQ Composite,COMPQ,6373.0,6491,6454,BULLISH
9/20/2017,COMPQ  NASDAQ Composite,COMPQ,6380.0,6498,6461,BULLISH
9/21/2017,COMPQ  NASDAQ Composite,COMPQ,6385.0,6500,6456,BULLISH
9/22/2017,COMPQ  NASDAQ Composite,COMPQ,6388.0,6475,6422,BULLISH
9/25/2017,COMPQ  NASDAQ Composite,COMPQ,6391.0,6475,6426,BULLISH
9/26/2017,COMPQ  NASDAQ Composite,COMPQ,6356.0,6490,6370,BULLISH
9/27/2017,COMPQ  NASDAQ Composite,COMPQ,6358.0,6490,6380,BULLISH
9/28/2017,COMPQ  NASDAQ Composite,COMPQ,6368.0,6495,6453,BULLISH
9/29/2017,COMPQ  NASDAQ Composite,COMPQ,6396.0,6496,6453,BULLISH
10/2/2017,COMPQ  NASDAQ Composite,COMPQ,6404.0,6512,6495,BULLISH
10/3/2017,COMPQ  NASDAQ Composite,COMPQ,6412.0,6533,6516,BULLISH
10/4/2017,COMPQ  NASDAQ Composite,COMPQ,6450.0,6559,6531,BULLISH
10/5/2017,COMPQ  NASDAQ Composite,COMPQ,6429.0,6580,6534,BULLISH
10/6/2017,COMPQ  NASDAQ Composite,COMPQ,6480.0,6617,6585,BULLISH
10/9/2017,COMPQ  NASDAQ Composite,COMPQ,6452.0,6632,6590,BULLISH
10/10/2017,COMPQ  NASDAQ Composite,COMPQ,6450.0,6630,6579,BULLISH
10/11/2017,COMPQ  NASDAQ Composite,COMPQ,6450.0,6633,6587,BULLISH
10/12/2017,COMPQ  NASDAQ Composite,COMPQ,6490.0,6632,6603,BULLISH
10/13/2017,COMPQ  NASDAQ Composite,COMPQ,6510.0,6630,6591,BULLISH
10/16/2017,COMPQ  NASDAQ Composite,COMPQ,6525.0,6631,6605,BULLISH
10/17/2017,COMPQ  NASDAQ Composite,COMPQ,6543.0,6636,6624,BULLISH
10/18/2017,COMPQ  NASDAQ Composite,COMPQ,6565.0,6633,6623,BULLISH
10/19/2017,COMPQ  NASDAQ Composite,COMPQ,6571.0,6637,6624,BULLISH
10/20/2017,COMPQ  NASDAQ Composite,COMPQ,6571.0,6639,6605,BULLISH
10/23/2017,COMPQ  NASDAQ Composite,COMPQ,6581.0,6640,6629,BULLISH
10/24/2017,COMPQ  NASDAQ Composite,COMPQ,6538.0,6640,6586,BULLISH
10/25/2017,COMPQ  NASDAQ Composite,COMPQ,6575.0,6640,6598,BULLISH
10/26/2017,COMPQ  NASDAQ Composite,COMPQ,6545.0,6648,6563,BULLISH
10/27/2017,COMPQ  NASDAQ Composite,COMPQ,6544.0,6653,6556,BULLISH
10/30/2017,COMPQ  NASDAQ Composite,COMPQ,6609.0,6730,6701,BULLISH
10/31/2017,COMPQ  NASDAQ Composite,COMPQ,6619.0,6718,6698,BULLISH
11/1/2017,COMPQ  NASDAQ Composite,COMPQ,6630.0,6751,6727,BULLISH
11/2/2017,COMPQ  NASDAQ Composite,COMPQ,6643.0,6773,6716,BULLISH
