date,asset,close,trend,trade,v5b_score,danger_score,target_weight,action,data_source
2026-06-29,GOLD,4040.5,BEARISH,BEARISH,-1.2394,68,0.31,HOLD,hedgeye_actual
2026-06-29,RUT,2990.67,BULLISH,BULLISH,1.0094,0,1.0,HOLD,hedgeye_actual
2026-06-29,SPX,7419.32,BULLISH,BEARISH,0.4159,30,0.925,HOLD,hedgeye_actual
2026-06-29,USD,101.08,BEARISH,NEUTRAL,-0.107,28,0.955,HOLD,hedgeye_actual
2026-06-30,COMPQ,26213.72,BEARISH,BEARISH,-0.2508,61,0.42,HOLD,hedgeye_actual
2026-06-30,GOLD,4013.8,BEARISH,BEARISH,-1.236,68,0.31,HOLD,hedgeye_actual
2026-06-30,RUT,3024.37,BULLISH,BULLISH,1.0051,0,1.0,HOLD,hedgeye_actual
2026-06-30,SPX,7499.36,BULLISH,BULLISH,0.555,2,1.0,HOLD,hedgeye_actual
2026-06-30,USD,101.25,BEARISH,NEUTRAL,-0.1275,28,0.955,HOLD,hedgeye_actual
2026-07-01,COMPQ,26040.03,BEARISH,BEARISH,-0.1167,46,0.6825,HOLD,hedgeye_actual
2026-07-01,GOLD,4097.6,BEARISH,BEARISH,-1.2363,68,0.31,HOLD,hedgeye_actual
2026-07-01,RUT,3012.59,BULLISH,BULLISH,0.9815,0,1.0,HOLD,hedgeye_actual
2026-07-01,SPX,7483.23,BULLISH,BULLISH,0.6638,0,1.0,HOLD,hedgeye_actual
2026-07-01,USD,101.32,BEARISH,NEUTRAL,-0.1527,33,0.88,HOLD,hedgeye_actual
2026-07-02,COMPQ,25832.67,BEARISH,BEARISH,-0.0257,36,0.835,HOLD,hedgeye_actual
2026-07-02,GOLD,4140.4,BEARISH,BEARISH,-1.2428,64,0.3675,HOLD,hedgeye_actual
2026-07-02,RUT,2996.11,BULLISH,BULLISH,0.9476,2,1.0,HOLD,hedgeye_actual
2026-07-02,SPX,7483.24,BULLISH,BULLISH,0.7761,0,1.0,HOLD,hedgeye_actual
2026-07-02,USD,100.78,BEARISH,NEUTRAL,-0.1674,33,0.88,HOLD,hedgeye_actual
2026-07-03,GOLD,4180.7,BEARISH,BEARISH,-1.2485,60,0.4375,HOLD,keltner_estimate
2026-07-03,USD,100.81,BEARISH,NEUTRAL,-0.195,35,0.85,HOLD,keltner_estimate
2026-07-06,COMPQ,26202.45,NEUTRAL,BEARISH,0.0657,23,1.0,BUY,hedgeye_actual
2026-07-06,GOLD,4156.3,BEARISH,BEARISH,-1.2466,64,0.3675,SELL,hedgeye_actual
2026-07-06,RUT,3023.46,BULLISH,BULLISH,0.9404,2,1.0,HOLD,hedgeye_actual
2026-07-06,SPX,7538.07,BULLISH,BULLISH,0.8321,0,1.0,HOLD,hedgeye_actual
2026-07-06,USD,101.0,BEARISH,NEUTRAL,-0.1884,35,0.85,HOLD,hedgeye_actual
