date,XLY,XLF,XLV,XLK,XLP,XLI,XLB,XLE,XLU,XLRE,XLC,SPY
2025-04-01,98.7808609008789,48.82242202758789,140.21005249023438,103.2809066772461,79.04059600830078,129.73800659179688,42.163246154785156,45.21195983886719,38.18754577636719,40.12125778198242,95.08057403564453,553.1870727539062
2025-04-02,100.65725708007812,49.22477722167969,141.1491241455078,104.04561614990234,78.80867004394531,130.95851135253906,42.51012420654297,45.27449035644531,38.36628341674805,40.312862396240234,95.41552734375,556.6878051757812
2025-04-03,94.57752990722656,46.80083084106445,140.00462341308594,96.9447250366211,79.26286315917969,123.8717041015625,40.590057373046875,41.720054626464844,38.1247444152832,39.10577392578125,91.15951538085938,529.2537231445312
2025-04-04,90.49795532226562,43.37590026855469,132.32606506347656,90.55886840820312,75.82254028320312,116.08605194091797,38.049522399902344,37.88185501098633,36.0040168762207,37.323883056640625,85.93801879882812,498.26971435546875
2025-04-07,89.42855834960938,43.26795196533203,131.5337371826172,91.10012817382812,74.94312286376953,115.5447006225586,37.43880844116211,37.63655090332031,35.453304290771484,36.42336654663086,86.05623626708984,497.3822021484375
2025-04-08,87.30460357666016,43.10111999511719,130.07626342773438,89.24794006347656,73.78346252441406,114.5899429321289,36.28579330444336,36.76598358154297,35.30838394165039,35.5228385925293,84.85430145263672,489.591796875
2025-04-09,96.81038665771484,46.349403381347656,135.73007202148438,101.2301025390625,76.64395904541016,124.76741027832031,39.45658874511719,39.61337661743164,36.69965362548828,37.563392639160156,92.35159301757812,541.0084228515625
2025-04-10,93.02788543701172,45.054019927978516,131.944580078125,96.5176773071289,76.6826171875,121.54881286621094,38.19608688354492,37.02571105957031,36.42429733276367,36.768245697021484,89.15957641601562,517.3019409179688
2025-04-11,93.92893981933594,45.79985046386719,133.88131713867188,98.49400329589844,77.64900207519531,123.69454193115234,39.329559326171875,37.94437789916992,36.868736267089844,37.285560607910156,89.91816711425781,526.5320434570312
2025-04-14,94.20126342773438,46.270896911621094,135.51486206054688,99.39279174804688,78.97295379638672,124.98394775390625,39.803466796875,38.07905578613281,37.530555725097656,38.10944747924805,90.5191421508789,531.64013671875
